"번호","사업장명","소재지전체주소","도로명전체주소","개업일자","영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지면적","소재지우편번호","판매점영업면적","전화번호","위치정보(X)","위치정보(Y)","상세영업상태명"
"18","GS25 북가좌제일점","서울특별시 서대문구 북가좌동 424번지 53호","서울특별시 서대문구 거북골로 170 (북가좌동)","20121108","운영중","","","","","","120817","","02-373-1963","192179.31524800000  ","453015.89843900000  ","영업중"
"19","GS25 서대문점","서울특별시 서대문구 충정로2가 7번지 2호","서울특별시 서대문구 통일로 131 (충정로2가)","20121108","운영중","","","","","","120012","","","196983.92667400000  ","451846.63285200000  ","영업중"
"20","GS25 무악재점","서울특별시 서대문구 홍제동 464번지","서울특별시 서대문구 통일로 357 (홍제동)","20121108","운영중","","","","","","120868","","02-723-3898","195586.63833000000  ","453638.22589400000  ","영업중"
"21","(주)지에스리테일 GS25 연대2점","서울특별시 서대문구 창천동 33번지 14호","서울특별시 서대문구 연세로9길 8 (창천동)","20121108","운영중","","","","","","120834","","02-335-1919","194385.16832900000  ","451007.41655100000  ","영업중"
"22","GS25 연대동문회관점","서울특별시 서대문구 신촌동 134번지","서울특별시 서대문구 연세로 50 지층 (신촌동 연세대학교 동문회관)","20121108","운영중","","","","","","120749","","02-364-5919","195227.16856600000  ","452804.37559900000  ","영업중"
"23","GS25 서대문냉천","서울특별시 서대문구 냉천동 4번지 5호","서울특별시 서대문구 독립문로 63 (냉천동)","20121108","운영중","","","","","","120050","","02-313-9638","196816.58921300000  ","451996.78781300000  ","영업중"
"24","CU 신촌르메이에르점","서울특별시 서대문구 창천동 20번지 26호","서울특별시 서대문구 신촌로 127 (창천동)","20121109","운영중","","","","","","120833","","02-363-9863","194697.86222900000  ","450772.43075700000  ","영업중"
"25","GS25 신촌문화점","서울특별시 서대문구 창천동 4번지 77호","서울특별시 서대문구 신촌역로 43 (창천동)","20121109","운영중","","","","","","120833","","02-365-2523","194754.82913500000  ","451048.27721300000  ","영업중"
"26","GS25 연대서문점","서울특별시 서대문구 연희동 28번지 19호","서울특별시 서대문구 연희로10길 86 (연희동)","20121109","운영중","","","","","","120823","","02-325-4695","194141.54793800000  ","451576.98760000000  ","영업중"
"27","GS25 창천휘가로점","서울특별시 서대문구 창천동 417번지","서울특별시 서대문구 연희로2안길 7-29 (창천동)","20121109","운영중","","","","","","120836","","02-323-2501","193623.59695300000  ","451143.64191400000  ","영업중"
"28","GS25 서대문창천점","서울특별시 서대문구 창천동 510번지 4호","서울특별시 서대문구 신촌로 3 (창천동)","20121109","운영중","","","","","","120836","","02-322-2506","193600.33928800000  ","451023.23174400000  ","영업중"
"29","GS25 충정로점","서울특별시 서대문구 합동 116번지","서울특별시 서대문구 서소문로 45 (합동)","20121109","운영중","","","","","","120030","","070-8172-6494","197017.94652300000  ","451306.85005100000  ","영업중"
"30","세븐일레븐 북가좌맑은길점","서울특별시 서대문구 북가좌동 2번지 86호","서울특별시 서대문구 증가로24나길 20 (북가좌동)","20121112","운영중","","","","","","120810","","02-308-6737","192561.40981500000  ","453567.39978900000  ","영업중"
"31","SK네트웍스(주)암사주유소","서울특별시 강동구 암사동 513번지 27호","서울특별시 강동구 올림픽로 749 (암사동)","20150320","운영중","","","","","","134051","","","211177.29257400000  ","449882.57683300000  ","영업중"
"61","지에스25양재윤현점","서울특별시 서초구 양재동 16번지 1호","서울특별시 서초구 바우뫼로37길 38 (양재동)","20121107","운영중","","","","","","137888","49.5","","203429.49214500000  ","442332.22539500000  ","영업중"
"32","SK네트웍스(주)고속주유소","서울특별시 강동구 둔촌동 600번지 1호","서울특별시 강동구 천호대로 1246 (둔촌동)","20150320","운영중","","","","","","134061","","","213201.93095200000  ","448574.51584200000  ","영업중"
"33","GS25 암사해리점","서울특별시 강동구 암사동 486번지 47호","서울특별시 강동구 구천면로53길 21 (암사동)","20150327","운영중","","","","","","134856","","","212014.90424400000  ","450073.08708500000  ","영업중"
"34","SK네트웍스(주)노원역주유소","서울특별시 노원구 상계동 706번지 2호","서울특별시 노원구 노해로75길 20-25 (상계동)","20121121","운영중","","","","","","139942","","930-5103","205183.56597300000  ","461714.02572600000  ","영업중"
"35","세븐일레븐공릉문화점","서울특별시 노원구 공릉동 575번지 1호 1층 101호","서울특별시 노원구 동일로179길 23 1층 101호 (공릉동)","20150310","운영중","","","","","","139807","","","206426.71180200000  ","458022.78433500000  ","영업중"
"36","씨유수락은빛점","서울특별시 노원구 상계동 1264번지 1호 1층 102호","서울특별시 노원구 동일로250길 17 1층 102호 (상계동)","20150317","운영중","","","","","","139838","","924-9306","205079.69514900000  ","464871.38593300000  ","영업중"
"37","GS25공릉행복점","서울특별시 노원구 공릉동 502번지 3호 1층","서울특별시 노원구 동일로190길 26 1층 (공릉동)","20150401","운영중","","","","","","139806","","","206596.59505800000  ","458442.97340300000  ","영업중"
"38","SK네트웍스㈜ 대명주유소(씨유편의점)","서울특별시 광진구 화양동 302번지 13호","서울특별시 광진구 광나루로 460 (화양동)","20121122","운영중","","","","","","143926","","02-2201-4392~3","207125.44099300000  ","449514.81689300000  ","영업중"
"39","씨유(CU) 구의솔렌시아점","서울특별시 광진구 구의동 251번지 163호","서울특별시 광진구 자양로 154 1층 105106호 (구의동 솔렌시아)","20150326","운영중","","","","","","143201","33.1","02-458-1582","207421.11329900000  ","449085.93542900000  ","영업중"
"40","씨유(CU) 건대후문점","서울특별시 광진구 화양동","서울특별시 광진구 광나루로24길 31-17 1층 (화양동)","20150330","운영중","","","","","","143130","49.6","02-444-5060","206884.36823900000  ","449532.18753100000  ","영업중"
"41","(주)타스칼레지에스25삼성아트점","서울특별시 강남구 삼성동 169번지 10호","서울특별시 강남구 테헤란로107길 11 (삼성동)","20121108","운영중","","","","","","135882","60","558-5701","205752.07554200000  ","445663.67915300000  ","영업중"
"42","지에스25역삼목화","서울특별시 강남구 역삼동 684번지 21호","서울특별시 강남구 선릉로107길 17 (역삼동)","20121102","운영중","","","","","","135916","0","501-5264","203781.74444200000  ","445497.10045200000  ","영업중"
"43","SK네트웍스(주)오천주유소(씨유)","서울특별시 강남구 삼성동 71번지 9호 SK네트웍스","서울특별시 강남구 봉은사로 503 (삼성동)","20121122","운영중","","","","","","135870","","545-2822","204756.30742300000  ","446004.85362500000  ","영업중"
"44","지에스25 청담사거리점","서울특별시 강남구 청담동 49번지 5호 1층 4호","서울특별시 강남구 도산대로 510 1층 4호 (청담동)","20150311","운영중","","","","","","135952","33","3445-8117","204322.68578500000  ","447174.90742500000  ","영업중"
"45","미니스톱 논현행운점","서울특별시 강남구 논현동 242번지 28호 1층","서울특별시 강남구 선릉로129길 5 (논현동 1층)","20150324","운영중","","","","","","135830","43","","203628.30175000000  ","446307.37601400000  ","영업중"
"46","미니스톱청담유시어터점","서울특별시 강남구 청담동 21번지 17호 1층","서울특별시 강남구 도산대로58길 17 1층 (청담동)","20150402","운영중","","","","","","135950","66.12","","203668.86328100000  ","446954.57966000000  ","영업중"
"47","지에스25개포소망점","서울특별시 강남구 개포동 186번지 15호 109호","서울특별시 강남구 개포로 508 109호 (개포동)","20150403","운영중","","","","","","135994","49.59","","206009.87380700000  ","443311.33495300000  ","영업중"
"48","씨유방배명성점","서울특별시 서초구 방배동 454번지 10호","서울특별시 서초구 방배천로2안길 77 1층 (방배동)","20130715","운영중","","","","","","137818","80","02-521-4656","198574.59593000000  ","442331.15166700000  ","영업중"
"49","미니스톱반포삼공점","서울특별시 서초구 반포동 58번지 7호 101호","서울특별시 서초구 고무래로 6-3 101호 (반포동)","20121109","운영중","","","","","","137803","","02-595-3624","200876.77514500000  ","444922.96316100000  ","영업중"
"50","씨유삼풍중앙점","서울특별시 서초구 서초동 1697번지 1호","서울특별시 서초구 서초중앙로28길 10 (서초동)","20121106","운영중","","","","","","137883","","02-3478-0171","201265.90086700000  ","444146.92188100000  ","영업중"
"51","지에스25방배대우점","서울특별시 서초구 방배동 978번지 42호","서울특별시 서초구 효령로 79 1층 (방배동)","20121106","운영중","","","","","","137847","","","199377.96388300000  ","442303.04211800000  ","영업중"
"52","씨유서초남양점","서울특별시 서초구 서초동 1571번지 5호","서울특별시 서초구 반포대로28길 63 (서초동)","20121106","운영중","","","","","","137874","","02-585-2243","201040.23381000000  ","443581.84782300000  ","영업중"
"53","지에스25양재현대","서울특별시 서초구 양재동 5번지 8호","서울특별시 서초구 논현로31길 63 (양재동)","20121106","운영중","","","","","","137886","","02-579-7602","203586.57124200000  ","442287.37037500000  ","영업중"
"54","씨유서초프라임점","서울특별시 서초구 서초동 1337번지 22호","서울특별시 서초구 강남대로 321 102호 (서초동 대우디오빌프라임)","20121106","운영중","","","","","","137860","","02-521-9736","202650.51712200000  ","443567.51739900000  ","영업중"
"55","씨유풍림플러스점","서울특별시 서초구  1338번지 1호 풍림아이원플러스","서울특별시 서초구 효령로77길 14 1층 (서초동 풍림아이원플러스)","20121106","운영중","","","","","","137860","","","202635.39947300000  ","443424.13700000000  ","영업중"
"56","씨유양재오피스점","서울특별시 서초구 양재동 110번지 18호","서울특별시 서초구 양재천로17길 26 (양재동)","20121106","운영중","","","","","","137891","","","203278.20433800000  ","441873.65868700000  ","영업중"
"57","미니스톱사당역점","서울특별시 서초구 방배동 445번지 5호","서울특별시 서초구 방배천로 5-3 (방배동 도양빌딩)","20121106","운영중","","","","","","137818","","02-586-2834","198430.64201200000  ","441957.03692600000  ","영업중"
"58","미니스톱방배본점","서울특별시 서초구 방배동 477번지 8호","서울특별시 서초구 효령로 18 1층 (방배동)","20121106","운영중","","","","","","137820","","","198857.11988100000  ","441971.77161800000  ","영업중"
"59","지에스25반포제일점","서울특별시 서초구 반포동 718번지 9호","서울특별시 서초구 사평대로53길 103 (반포동)","20121107","운영중","","","","","","137808","","","201749.62916000000  ","445470.44330800000  ","영업중"
"60","서초이오빌점(미니스톱)","서울특별시 서초구 서초동 1593번지 7호","서울특별시 서초구 효령로53길 45 (서초동 서초이오빌)","20121107","운영중","","","","","","137876","","02-581-8904","201143.78592700000  ","443008.93919800000  ","영업중"
"62","명하주식회사(지에스25반포행복점)","서울특별시 서초구 반포동 724번지 26호","서울특별시 서초구 사평대로55길 82-14 101호 (반포동)","20130805","운영중","","","","","","137809","39.6","02-3444-8688","201925.49925200000  ","445373.80041900000  ","영업중"
"63","세븐일레븐반포주공점","서울특별시 서초구 반포동 1053번지","서울특별시 서초구 신반포로 22 1층 (반포동 H동제18호내)","20130805","운영중","","","","","","137811","4939","070-4403-7110","198861.90751200000  ","444626.50706200000  ","영업중"
"64","(주)에이치앤디이서울만남의광장휴게소","서울특별시 서초구 원지동 10번지 16호","서울특별시 서초구 양재대로12길 73-71 (원지동)","20130805","운영중","","","","","","137893","63","02-578-3372","203771.17792400000  ","440131.41033900000  ","영업중"
"65","지에스25잠원신화점","서울특별시 서초구 잠원동 50번지 5호 한신12차상가 101호","서울특별시 서초구 나루터로 37 101호 (잠원동 한신12차상가)","20130501","운영중","","","","","","137906","","","201254.82369800000  ","446218.17450300000  ","영업중"
"66","지에스25서초행복점","서울특별시 서초구 서초동 1467번지 1호","서울특별시 서초구 명달로4길 4 102호103호 (서초동)","20130917","운영중","","","","","","137868","","02-586-5687","200538.46982200000  ","442267.35168400000  ","영업중"
"67","씨유서초렉시온점","서울특별시 서초구 서초동 1338번지 20호","서울특별시 서초구 강남대로 305 B109호 (서초동 서초현대렉시온)","20121108","운영중","","","","","","137860","","02-2182-5321","202709.89034900000  ","443414.94387600000  ","영업중"
"68","지에스25서초현대점","서울특별시 서초구 서초동 1589번지 7호","서울특별시 서초구 반포대로14길 36 101호102호 (서초동)","20121108","운영중","","","","","","137876","","02-597-0451","201153.02659000000  ","442899.62525100000  ","영업중"
"69","지에스25잠원주흥점","서울특별시 서초구 잠원동 29번지 1호","서울특별시 서초구 강남대로95길 19-4 (잠원동)","20121108","운영중","","","","","","137904","","02-512-3080","201657.49453700000  ","446010.76300700000  ","영업중"
"70","지에스25서울교대점","서울특별시 서초구  1627번지 5호 교대빌딩","서울특별시 서초구 사임당로12길 17 103호104호 (서초동 교대빌딩)","20130925","운영중","","","","","","137879","66","","201518.82112800000  ","443200.78468800000  ","영업중"
"71","지에스25서초코날점","서울특별시 서초구 서초동 1364번지 11호 102호","서울특별시 서초구 서운로 6 1층 102호 (서초동)","20130927","운영중","","","","","","137863","69","02-3487-8989","202644.33680300000  ","442808.38199000000  ","영업중"
"72","씨유서초신사점","서울특별시 서초구 서초동 1547번지 5호","서울특별시 서초구 반포대로22길 14-4 101호 (서초동)","20130930","운영중","","","","","","137872","52.8","02-587-9151","200901.41591800000  ","443254.67152400000  ","영업중"
"73","미니스톱반포2호점","서울특별시 서초구 반포동 115번지 5호","서울특별시 서초구 신반포로11길 40 (반포동)","20121108","운영중","","","","","","137049","59.4","02-537-3113","199357.32032600000  ","445358.07046700000  ","영업중"
"74","씨유방배제일점","서울특별시 서초구 방배동 929번지 1호","서울특별시 서초구 효령로23길 90 (방배동)","20121108","운영중","","","","","","137844","","","199297.23144400000  ","442750.29769100000  ","영업중"
"75","세븐일레븐방배명성점","서울특별시 서초구 방배동 822번지 21호","서울특별시 서초구 동광로10길 21-7 1층 (방배동)","20121108","운영중","","","","","","137833","","02-599-0201","198795.77877100000  ","443411.05996300000  ","영업중"
"76","지에스25방배아트힐","서울특별시 서초구 방배동 1008번지 2호 방배힐아파트 103호","서울특별시 서초구 남부순환로 2311-12 103호 (방배동 방배힐아파트)","20121109","운영중","","","","","","137850","","02-3487-2122","200553.60296100000  ","442111.10973600000  ","영업중"
"77","지에스25서초프라자점","서울특별시 서초구 서초동 1307번지 7호","서울특별시 서초구 강남대로61길 10 (서초동)","20121109","운영중","","","","","","137856","","02-3477-3207","202253.50387300000  ","444422.47942200000  ","영업중"
"78","지에스25서초예전점","서울특별시 서초구 서초동 1451번지 7호","서울특별시 서초구 반포대로8길 5-10 (서초동)","20121109","운영중","","","","","","137927","","02-525-0593","201094.53003500000  ","442680.03889300000  ","영업중"
"79","씨유서울교대점","서울특별시 서초구 서초동 1626번지 5호","서울특별시 서초구 사임당로12길 2 1층 (서초동 서일빌딩)","20121109","운영중","","","","","","137878","","02-587-0870","201472.08514300000  ","443262.58947800000  ","영업중"
"80","세븐일레븐방배롯데캐슬점","서울특별시 서초구 방배동 439번지 1호","서울특별시 서초구 동작대로 68 1층 (방배동)","20121109","운영중","","","","","","137817","","02-6368-4525","198438.26666800000  ","442571.12462600000  ","영업중"
"81","미니스톱방배중앙점","서울특별시 서초구 방배동 985번지 20호","서울특별시 서초구 효령로34길 23-3 101호 (방배동)","20121109","운영중","","","","","","137849","","02-587-9889","199980.56800700000  ","442366.57861200000  ","영업중"
"82","지에스25방배푸른","서울특별시 서초구 방배동 915번지 5호","서울특별시 서초구 효령로27길 11 1층 (방배동)","20121109","운영중","","","","","","137843","","02-598-2268","199570.39929400000  ","442433.55330800000  ","영업중"
"83","지에스25방배내방점","서울특별시 서초구 방배동 895번지 16호","서울특별시 서초구 서초대로 122 (방배동)","20121109","운영중","","","","","","137841","","02-583-0215","199626.87627500000  ","443174.11838200000  ","영업중"
"84","미니스톱동작대로점","서울특별시 서초구 방배동 442번지 3호","서울특별시 서초구 동작대로 36 (방배동)","20121109","운영중","","","","","","137818","","02-521-6202","198424.92038900000  ","442248.22759500000  ","영업중"
"85","미니스톱방배홈타운점","서울특별시 서초구 방배동 2133번지","서울특별시 서초구 동광로 9 (방배동)","20121112","운영중","","","","","","137852","","02-594-3842","198590.16374300000  ","443507.90734400000  ","영업중"
"86","지에스25서초우면점","서울특별시 서초구 우면동 65번지 1호","서울특별시 서초구 바우뫼로7길 13 104호 (우면동)","20121112","운영중","","","","","","137900","","02-529-5424","202184.74037300000  ","441278.47430200000  ","영업중"
"87","지에스25반포2점","서울특별시 서초구 반포동 741번지","서울특별시 서초구 주흥길 12 (반포동)","20121112","운영중","","","","","","137810","","02-542-7879","201830.16879100000  ","445002.44447000000  ","영업중"
"88","세븐일레븐방배동광점","서울특별시 서초구 방배동 793번지 4호","서울특별시 서초구 동광로 55 (방배동)","20121112","운영중","","","","","","137830","","02-532-33240","198998.10753100000  ","443646.11477700000  ","영업중"
"89","지에스25서초프랜드","서울특별시 서초구 서초동 1605번지 4호","서울특별시 서초구 효령로 349-5 1층 (서초동)","20121112","운영중","","","","","","137877","","02-583-3670","201945.71655000000  ","443064.50533900000  ","영업중"
"781","(주)코리아세븐 이태원점","","서울특별시 용산구 녹사평대로26길 30 (이태원동)","20121116","운영중","","","","","","","","","199270.23352200000  ","447958.81727200000  ","영업중"
"90","지에스25서초영동","서울특별시 서초구 서초동 1357번지","서울특별시 서초구 강남대로47길 25 1층 (서초동)","20121112","운영중","","","","","","137862","","02-597-5747","202682.61243300000  ","443221.41921200000  ","영업중"
"91","세븐일레븐양재엘지전자점","서울특별시 서초구 양재동 220번지","서울특별시 서초구 매헌로1길 26 (양재동)","20121112","운영중","","","","","","137893","","070-7808-6010","203020.95132100000  ","440332.48706600000  ","영업중"
"92","지에스25양재한양","서울특별시 서초구 양재동 340번지 3호","서울특별시 서초구 강남대로8길 40-13 103호104호 (양재동)","20121113","운영중","","","","","","137897","","02-572-5054","203838.66468600000  ","441069.86392100000  ","영업중"
"93","씨유서초역점","서울특별시 서초구 서초동 1553번지 17호","서울특별시 서초구 서초대로42길 7 (서초동)","20121113","운영중","","","","","","137873","","02-581-6240","200773.54325100000  ","443573.12229700000  ","영업중"
"94","GS25 성신위드점","서울특별시 성북구  226번지 2호 씨앤위드빌딩","서울특별시 성북구 보문로34가길 20 (동선동3가 씨앤위드빌딩 )","20121105","운영중","","","","","","136053","","02-922-1472","201784.15155900000  ","454758.99271400000  ","영업중"
"95","CU 광덕주유소점","서울특별시 성북구 보문동5가 146번지 1호","서울특별시 성북구 보문로 89 (보문동5가)","20121122","운영중","","","","","","136085","","02-923-5545","201785.25194700000  ","453735.27509500000  ","영업중"
"96","GS25 정릉중앙점","서울특별시 성북구 정릉동 403번지 18호","서울특별시 성북구 보국문로 40 (정릉동)","20150312","운영중","","","","","","136101","52.8","02-941-5757","200906.26180500000  ","456506.09433300000  ","영업중"
"97","씨유교대역점","서울특별시 서초구 서초동 1676번지 1호","서울특별시 서초구 서초대로 332 1층 (서초동)","20121113","운영중","","","","","","137881","","02-584-0858","201583.64380000000  ","443914.43477500000  ","영업중"
"98","지에스25반포1점","서울특별시 서초구 반포동 54번지 3호","서울특별시 서초구 고무래로8길 9 1층 (반포동)","20121113","운영중","","","","","","137803","","02-599-6797","200907.53596600000  ","444719.93205000000  ","영업중"
"99","지에스25서초제일점","서울특별시 서초구 서초동 1307번지","서울특별시 서초구 서초대로73길 30 (서초동)","20121113","운영중","","","","","","137856","","02-3482-8402","202198.68728400000  ","444516.47012700000  ","영업중"
"100","지에스25서초4점","서울특별시 서초구 서초동 1598번지 7호","서울특별시 서초구 서초중앙로 63-8 (서초동)","20121113","운영중","","","","","","137876","","02-3471-3460","201254.64518500000  ","443124.20713300000  ","영업중"
"101","세븐일레븐 오금미소점","서울특별시 송파구 오금동 42번지","서울특별시 송파구 마천로 70 (오금동)","20150316","운영중","","","","","","","","404-4212","211323.08733800000  ","445355.60111300000  ","영업중"
"102","GS25 송파상아점","서울특별시 송파구 오금동 165번지 상아아파트","서울특별시 송파구 오금로 407 1층 122호 (오금동 상아아파트)","20150324","운영중","","","","","","","","","212170.56200400000  ","444362.08960800000  ","영업중"
"103","씨유송파도서관점","서울특별시 송파구 오금동 151번지 4호 제일빌딩","서울특별시 송파구 동남로 274 제일빌딩 (오금동)","20150402","운영중","","","","","","","","","212091.14947600000  ","444523.64271800000  ","영업중"
"104","씨유송파임광점","서울특별시 송파구 송파동 37번지 2호 미래빌딩","서울특별시 송파구 백제고분로45길 29 (송파동 미래빌딩)","20150402","운영중","","","","","","","","","209573.85655300000  ","445650.47124200000  ","영업중"
"105","씨유서초다우점","서울특별시 서초구 서초동 1303번지 36호 103호","서울특별시 서초구 서초대로77길 58 103호 (서초동)","20121113","운영중","","","","","","137855","","02-3482-6232","202156.21480300000  ","444789.90414200000  ","영업중"
"106","씨유효령로점","서울특별시 서초구 서초동 1486번지 18호","서울특별시 서초구 남부순환로315길 100 1층 (서초동)","20121113","운영중","","","","","","137869","","02-598-1727","200665.04393600000  ","442605.08481500000  ","영업중"
"107","지에스25양재삼익점","서울특별시 서초구 양재동 82번지","서울특별시 서초구 바우뫼로 184 (양재동)","20121114","운영중","","","","","","137890","","02-572-7672","203567.35265300000  ","442131.14351900000  ","영업중"
"108","세븐일레븐잠원중앙점","서울특별시 서초구 잠원동 22번지 20호","서울특별시 서초구 강남대로97길 16 (잠원동)","20121114","운영중","","","","","","137903","","070-8770-9644","201663.18454200000  ","446149.37286000000  ","영업중"
"109","(주)세나코퍼레이션","서울특별시 서초구 반포동 536번지 2호","서울특별시 서초구 사평대로28길 22 (반포동)","20121114","운영중","","","","","","137807","","02-3481-2080","199998.07488000000  ","444449.76490300000  ","영업중"
"110","씨유내방조은점","서울특별시 서초구 방배동 936번지 8호 1층","서울특별시 서초구 방배로23길 8 1층 (방배동)","20121114","운영중","","","","","","","","02-521-2758","199427.43208100000  ","442975.80568200000  ","영업중"
"111","씨유방배드림점","서울특별시 서초구 방배동 863번지 4호","서울특별시 서초구 도구로 123-2 (방배동)","20121114","운영중","","","","","","137838","","02-595-2141","198745.19048600000  ","443128.85802700000  ","영업중"
"112","씨유대화훼미리점","서울특별시 서초구 방배동 924번지 10호","서울특별시 서초구 방배로13길 10 (방배동)","20121114","운영중","","","","","","137843","","02-587-3271","199634.28363400000  ","442629.27719900000  ","영업중"
"113","씨유오벨리스크점","서울특별시 서초구 서초동 1327번지 27호","서울특별시 서초구 서초대로74길 27 102호 (서초동)","20121114","운영중","","","","","","137858","","02-588-9423","202410.71670300000  ","443981.49975300000  ","영업중"
"114","지에스25방배제일점","서울특별시 서초구 방배동 926번지 5호","서울특별시 서초구 방배로19길 13 (방배동)","20121114","운영중","","","","","","137843","","02-521-4933","199496.10754100000  ","442849.02128500000  ","영업중"
"115","세븐일레븐반포사평로점","서울특별시 서초구 방배동 727번지 3호","서울특별시 서초구 사평대로6길 7 (방배동)","20121114","운영중","","","","","","137827","","02-535-3955","199198.02477600000  ","444255.73673500000  ","영업중"
"116","지에스25이수역점","서울특별시 서초구 방배동 951번지 1호","서울특별시 서초구 서초대로 24 (방배동)","20121114","운영중","","","","","","137845","","02-525-1745","198677.97123500000  ","442889.30214000000  ","영업중"
"117","세븐일레븐양재4호점","서울특별시 서초구 양재동 209번지 5호","서울특별시 서초구 매헌로 42 101호102호 (양재동)","20121114","운영중","","","","","","137893","","02-578-9959","203043.49132000000  ","440587.15607600000  ","영업중"
"118","미니스톱서초라디안점","서울특별시 서초구 서초동 1600번지 7호","서울특별시 서초구 서초중앙로 49 (서초동)","20121114","운영중","","","","","","137953","","02-521-8506","201339.83172700000  ","442964.38061700000  ","영업중"
"119","씨유잠원새롬점","서울특별시 서초구 잠원동 18번지 1호 102호","서울특별시 서초구 나루터로10길 3 102호 (잠원동)","20121115","운영중","","","","","","137903","","","201448.02923700000  ","446143.71202200000  ","영업중"
"120","씨유신반포역점","서울특별시 서초구 반포동 18번지 4호","서울특별시 서초구 신반포로 100 102호 (반포동)","20121115","운영중","","","","","","137040","","02-3481-6606","199619.24550900000  ","444846.51712700000  ","영업중"
"121","지에스25서초브라운","서울특별시 서초구 서초동 1677번지 1호 112호","서울특별시 서초구 서초대로 334 112호 (서초동)","20121115","운영중","","","","","","137881","","02-523-1139","201617.52177900000  ","443917.18949600000  ","영업중"
"122","지에스25서초서일점","서울특별시 서초구 서초동 1432번지 25호","서울특별시 서초구 남부순환로339길 27 (서초동)","20121115","운영중","","","","","","137865","","02-588-0634","201955.84435600000  ","442758.13280900000  ","영업중"
"123","씨유방배내방점","서울특별시 서초구 방배동 894번지 18호","서울특별시 서초구 서초대로 134 1층 (방배동)","20121116","운영중","","","","","","137841","","02-3486-9898","199723.64757000000  ","443217.82884400000  ","영업중"
