index,사업장명,소재지전체주소,도로명전체주소,개업일자,영업상태명,약국영업면적,인허가구분명,지정일자,전화번호,x축,y축,상세영업상태명,구별
97,푸른약국,서울특별시 중구 충무로2가 66번지 13호,서울특별시중구명동8길47,20050912,운영중,15.58,약국,20050912.0,02-775-7428,37.561627,126.9850537,영업중,중구
98,새금성약국,서울특별시 중구 오장동 139번지 16호,서울특별시중구동호로33길5,20060217,운영중,35.73,약국,20060217.0,02-2266-1038,37.5653547,127.0018713,영업중,중구
99,하늘약국,서울특별시 중구 무학동 11번지 1호,서울특별시중구다산로245,20060417,운영중,41.25,약국,20060417.0,02-2237-3530,37.5649963,127.0158543,영업중,중구
100,명동약국,서울특별시 중구 충무로2가 65번지 9호,서울특별시중구퇴계로123,20060630,운영중,27.52,약국,20060630.0,02-2079-0825,37.5612169,126.98535359999998,영업중,중구
101,연합약국,서울특별시 중구 남산동1가 1번지 2호,서울특별시중구퇴계로120,20070115,운영중,24.48,약국,20070115.0,02-778-3465,37.560539500000004,126.9850662,영업중,중구
102,남산우리약국,서울특별시 중구 회현동1가 208번지 남산롯데캐슬 아이리스 상가 102호,서울특별시중구소공로35,20070517,운영중,27.62,약국,20070517.0,02-3789-7582,37.5582303,126.9820805,영업중,중구
103,그린약국,서울특별시 중구 순화동 53번지 아이엔지센터,서울특별시중구세종대로7길37,20070525,운영중,23.0,약국,20070525.0,02-755-7525,37.560710799999995,126.9724753,영업중,중구
104,신우리약국,서울특별시 중구 저동2가 84번지 4호,서울특별시중구마른내로13,20070621,운영중,31.34,약국,20070621.0,02-2267-1570,37.564848,126.98933629999999,영업중,중구
105,예솔약국,서울특별시 중구 중림동 355번지 브라운스톤서울 103동 207호,서울특별시중구청파로464,20070705,운영중,23.4,약국,20070705.0,02-365-3652,37.5607773,126.9682129,영업중,중구
106,메디칼하나약국,서울특별시 중구 신당동 369번지 22호,서울특별시중구다산로134,20070711,운영중,37.38,약국,20070711.0,02-2252-2501,37.555647799999996,127.0114037,영업중,중구
107,필약국,서울특별시 중구  19번지 11호 대평빌딩 103호,서울특별시중구필동로14,20070824,운영중,16.8,약국,20070824.0,02-2268-7552,37.5603617,126.9958881,영업중,중구
108,한마음약국,서울특별시 중구 저동2가 88번지 10호,서울특별시중구마른내로10,20070913,운영중,29.87,약국,20070913.0,02-2271-2861,37.5644871,126.98886570000002,영업중,중구
109,새삼성약국,서울특별시 중구 남대문로4가 3번지 1호,서울특별시중구남대문로16-1,20080416,운영중,29.7,약국,20080416.0,02-756-3301,37.5607238,126.97760020000001,영업중,중구
110,명동중앙약국,서울특별시 중구 충무로1가 25번지 9호,서울특별시중구명동8나길49,20080425,운영중,34.15,약국,20080425.0,02-777-0505,37.560981,126.9821321,영업중,중구
111,비타민약국,서울특별시 중구 초동 17번지 1호 2층,서울특별시중구충무로48,20080516,운영중,20.59,약국,20080516.0,02-2279-0720,37.5652721,126.9931033,영업중,중구
112,금오약국,서울특별시 중구 남창동 9번지 15호 금오빌딩 3층,서울특별시중구퇴계로61,20080526,운영중,37.39,약국,20080526.0,02-318-9031,37.559324100000005,126.97890509999999,영업중,중구
113,명동천사약국,서울특별시 중구 명동2가 87번지 1호 5층,서울특별시중구남대문로68,20080715,운영중,12.3,약국,20080715.0,02-755-1005,37.5630705,126.9822429,영업중,중구
114,새평화약국,서울특별시 중구 남대문로4가 45번지 상공회의소 지1층,서울특별시중구세종대로39,20080806,운영중,19.53,약국,20080806.0,02-6050-0093,37.5606707,126.9737639,영업중,중구
115,새재약국,서울특별시 중구 장충동2가 161번지 15호,서울특별시중구장충단로7길41,19640406,운영중,22.25,약국,19640406.0,02-2272-5953,37.5623706,127.00413640000001,영업중,중구
116,인원약국,서울특별시 중구 중림동 397번지 20호,서울특별시중구중림로2,19651220,운영중,16.96,약국,19651220.0,02-392-3881,37.5588919,126.96374440000001,영업중,중구
117,온누리정일약국,서울특별시 중구 중림동 69번지 9호,서울특별시중구청파로437,19660408,운영중,24.84,약국,19660408.0,02-392-2786,37.558589399999995,126.9690252,영업중,중구
118,동화약국,서울특별시 중구 동화동 282번지 107호,서울특별시중구다산로34길47,20090611,운영중,20.3,약국,20090611.0,02-2234-9666,37.5617223,127.01708470000001,영업중,중구
119,대화약국,서울특별시 중구 신당동 373번지 115호,서울특별시중구동호로5길22,19700316,운영중,42.9,약국,19700316.0,02-2238-1333,37.5516917,127.01198670000001,영업중,중구
120,한중약국,서울특별시 중구 서소문동 136번지,서울특별시중구서소문로120,19720624,운영중,21.08,약국,19720624.0,02-752-2326,37.5612786,126.9693213,영업중,중구
121,메디팜신웅약국,서울특별시 중구 황학동 629번지,서울특별시중구퇴계로87길15-8,19750326,운영중,20.13,약국,19750326.0,02-2252-6675,37.5662216,127.0207101,영업중,중구
122,중부사약국,서울특별시 중구 오장동 11-4,서울특별시중구을지로30길58,19751111,운영중,17.61,약국,19751111.0,02-2275-7357,37.564587200000005,126.9989136,영업중,중구
123,다나약국,서울특별시 중구 신당동 372번지 3호,서울특별시중구동호로171,19760421,운영중,24.37,약국,19760421.0,02-2234-0345,37.5533366,127.0112939,영업중,중구
124,새원약국,서울특별시 중구 명동2가 2번지 3호,서울특별시중구명동길52,19761208,운영중,15.76,약국,19761208.0,02-776-4476,37.56372929999999,126.98528780000001,영업중,중구
125,대풍약국,서울특별시 중구 신당2동 363번지 10호,서울특별시중구동호로11길43,19770523,운영중,35.7,약국,19770523.0,02-2252-3944,37.553310499999995,127.009042,영업중,중구
126,한일약국,서울특별시 중구 서소문동 54번지 1호,서울특별시중구서소문로109,19770716,운영중,53.32,약국,19770716.0,02-753-9779,37.563030600000005,126.9732584,영업중,중구
127,금천약국,서울특별시 중구 북창동 136번지,서울특별시중구남대문로1길2,19780218,운영중,22.14,약국,19780218.0,02-778-7134,37.5612281,126.97767479999999,영업중,중구
128,대도약국,서울특별시 중구 필동1가 39번지 3호,서울특별시중구퇴계로183,19780407,운영중,18.0,약국,19780407.0,02-2266-9862,37.5612764,126.9923025,영업중,중구
129,한미약국,서울특별시 중구 신당동 217번지 92호 동평화시장 1층 가48호,서울특별시중구청계천로318,19790804,운영중,16.17,약국,19790804.0,02-2238-5929,37.5694218,127.01321850000001,영업중,중구
130,오약국,서울특별시 중구  45번지 코오롱아케이드,서울특별시중구무교로21,19800126,운영중,18.7,약국,19800126.0,02-779-0310,37.5677014,126.97884509999999,영업중,중구
131,희구약국,서울특별시 중구 남창동 48번지 10호,서울특별시중구남대문시장4길37,19800604,운영중,38.5,약국,19800604.0,02-752-0229,37.5584646,126.97735719999999,영업중,중구
132,신라약국,서울특별시 중구 다동 143,서울특별시중구남대문로9길16,19820520,운영중,19.8,약국,19820520.0,02-777-4825,37.5667974,126.9815345,영업중,중구
133,신성약국,서울특별시 중구 신당동 292번지 127호 경북여인숙,서울특별시중구다산로215,19831116,운영중,24.68,약국,19831116.0,02-2273-1390,37.562436100000006,127.0148375,영업중,중구
134,지하근화사약국,서울특별시 중구 을지로3가 282번지 8호 지하상가3구역 11호,서울특별시중구을지로지하,19831206,운영중,19.52,약국,19831206.0,02-2272-4986,37.566937599999996,127.0015264,영업중,중구
135,조동약국,서울특별시 중구 장교동 1번지,서울특별시중구삼일대로363,19840703,운영중,25.5,약국,19840703.0,02-755-2662,37.5673064,126.9867527,영업중,중구
136,아세아약국,서울특별시 중구 초동 18번지 12호,서울특별시중구충무로4길2,19841113,운영중,27.72,약국,19841113.0,02-2279-5433,37.5649007,126.99297469999999,영업중,중구
137,백조약국,서울특별시 중구 태평로1가 75번지,서울특별시중구세종대로21길61,19841220,운영중,15.66,약국,19841220.0,02-738-8808,37.569080299999996,126.9758729,영업중,중구
138,인우약국,서울특별시 중구 중림동 1154번지,서울특별시중구중림로21,19851107,운영중,45.14,약국,19851107.0,02-392-7291,37.5589283,126.96594650000002,영업중,중구
139,정원약국,서울특별시 중구 태평로2가 52번지 1호,서울특별시중구세종대로18길10,19851226,운영중,29.9,약국,19851226.0,02-755-5866,37.5636675,126.9776064,영업중,중구
140,장수약국,서울특별시 중구 신당5동 130번지 33호,서울특별시중구퇴계로86길6,19870107,운영중,25.1,약국,19870107.0,02-2252-2929,37.5652265,127.0195821,영업중,중구
141,부일약국,서울특별시 중구 신당동 236번지 503호,서울특별시중구청구로14길45,19870429,운영중,32.88,약국,19870429.0,02-2238-6974,37.5627334,127.0131064,영업중,중구
142,왕란약국,서울특별시 중구 광희동1가 154번지 1호,서울특별시중구을지로44길20,19871120,운영중,16.3,약국,19871120.0,02-2267-1492,37.565213299999996,127.0063669,영업중,중구
143,방약국,서울특별시 중구 을지로4가 158번지,서울특별시중구을지로33길2,19871201,운영중,28.8,약국,19871201.0,02-2279-6433,37.5669579,127.0004112,영업중,중구
144,광진약국,서울특별시 중구 신당동 308번지 1호,서울특별시중구다산로27길6-14,19890610,운영중,38.78,약국,19890610.0,02-2237-5296,37.5599279,127.01325770000001,영업중,중구
145,동국약국,서울특별시 중구 필동3가 19번지 7호,서울특별시중구서애로1길16,19900106,운영중,29.01,약국,19900106.0,02-2267-6767,37.5607963,126.9988953,영업중,중구
146,동문약국,서울특별시 중구 을지로6가 18번지 60호,서울특별시중구을지로41길14,19900124,운영중,71.42,약국,19900124.0,02-2271-1702,37.56696029999999,127.00624640000001,영업중,중구
147,남시약국,서울특별시 중구 남대문로3가 30번지 15호,서울특별시중구남대문로18,19910704,운영중,54.0,약국,19910704.0,02-753-7466,37.560728499999996,126.9777281,영업중,중구
148,영진약국,서울특별시 중구 초동 35번지 3호,서울특별시중구충무로30-2,19921007,운영중,49.22,약국,19921007.0,02-2267-0801,37.563844,126.99310439999999,영업중,중구
