,번호,사업장명,소재지전체주소,도로명전체주소,개업일자,영업상태명,약국영업면적,인허가구분명,지정일자,전화번호,위치정보(X),위치정보(Y),상세영업상태명,구별
40,41,푸른온누리약국,서울특별시 종로구 평동 180,서울특별시종로구새문안로19,20040830,운영중,33,약국,20040830,02-720-0333,197164.132,451988.9564,영업중,종로구
41,42,경일약국,서울특별시 종로구 평창동 300-1,서울특별시종로구평창문화로35,19771110,운영중,18,약국,19771110,02-391-3469,196936.3113,456166.2139,영업중,종로구
42,43,은성약국,서울특별시 종로구 낙원동 62,서울특별시종로구삼일대로434,19761206,운영중,16,약국,19761206,02-765-4808,198951.7521,452645.3597,영업중,종로구
43,44,동시약국,서울특별시 종로구 종로4가 165번지 1호 동흥빌딩,서울특별시종로구종로202-1,19950120,운영중,55,약국,19950120,02-2268-4055,200019.664,452342.7579,영업중,종로구
44,45,보성온누리약국,서울특별시 종로구 명륜1가 10-22,서울특별시종로구명륜길22,19730210,운영중,55,약국,19730210,02-762-6654,199617.6658,454318.1097,영업중,종로구
45,46,영화약국,서울특별시 종로구 종로6가 215-56,서울특별시종로구종로41길47,19940126,운영중,22,약국,19940126,02-764-4868,200519.4494,452639.7984,영업중,종로구
46,47,한일약국,서울특별시 종로구 예지동 166-1,서울특별시종로구창경궁로11길3,20030512,운영중,22,약국,20030512,02-2275-0024,199789.2392,452232.5475,영업중,종로구
47,48,푸른소나무약국,서울특별시 종로구 수송동 58번지 두산위브파빌리온 207호,서울특별시종로구삼봉로81,20081001,운영중,35,약국,20081001,02-2198-5333,198391.5092,452554.3183,영업중,종로구
48,49,종로약국,서울특별시 종로구 종로4가 8번지,서울특별시종로구종로195,20081211,운영중,45,약국,20081211,745-3184,199939.9576,452397.6139,영업중,종로구
49,50,새동서약국,서울특별시 종로구 종로5가 138번지 19호,서울특별시종로구동호로403,20081231,운영중,54.81,약국,20081231,02-2285-1055,200146.8792,452328.6139,영업중,종로구
50,51,건강한세상약국,서울특별시 종로구 평동 178 123층지하1층,서울특별시종로구새문안로21,20010329,운영중,121,약국,20010329,02-733-7870,197170.1579,451996.3128,영업중,종로구
51,52,성진약국,서울특별시 종로구 혜화동 114-2,서울특별시종로구창경궁로271-1,19730208,운영중,61.46,약국,19730208,02-762-2211,200053.121,454001.164,영업중,종로구
52,53,대도약국,서울특별시 종로구 견지동 109번지 1층,서울특별시종로구우정국로38-1,19900516,운영중,27.71,약국,19900516,02-737-4510,198520.8134,452548.9791,영업중,종로구
53,54,현대온누리약국,서울특별시 종로구 계동 140번지 2호 지하1층,서울특별시종로구율곡로75,20060925,운영중,19.24,약국,20060925,02-746-7750,198922.1067,453250.3333,영업중,종로구
54,55,신코아약국,서울특별시 종로구 관철동 12번지 13호 1층,서울특별시종로구종로12길23,20080731,운영중,16.5,약국,20080731,02-734-9020,198755.4023,452157.2278,영업중,종로구
55,56,청자약국,서울특별시 종로구 명륜동3가 1-119,서울특별시종로구명륜길70,19701023,운영중,19,약국,19701023,02-762-4933,199456.7226,454472.4758,영업중,종로구
56,57,유성약국,서울특별시 종로구 종로5가182-4,서울특별시종로구동호로408,20011023,운영중,67,약국,20011023,02-2263-9666,200196.8275,452353.4519,영업중,종로구
57,58,보람약국,서울특별시 종로구 창신동 330-2,서울특별시종로구종로326,19941021,운영중,46,약국,19941021,02-766-3366,201235.6741,452529.1873,영업중,종로구
58,59,녹십자약국,서울특별시 종로구 창신동 687-1,서울특별시종로구창신길17,20060525,운영중,36,약국,20060525,02-765-2766,200938.2461,452548.1943,영업중,종로구
59,60,대성약국,서울특별시 종로구 창신동 436-79 동대문상가 가동 내제1층호,서울특별시종로구청계천로291,20070326,운영중,17.1,약국,20070326,02-743-5800,200889.4363,452280.2403,영업중,종로구
60,61,대경약국,서울특별시 종로구 창신동 143-18,서울특별시종로구종로51나길2,20061222,운영중,41,약국,20061222,02-744-2434,201085.952,452569.1222,영업중,종로구
61,62,금왕약국,서울특별시 종로구 창신1동 131번지 8호,서울특별시종로구창신5길19,19650112,운영중,28,약국,19650112,02-763-5493,201025.2248,452703.6678,영업중,종로구
62,63,연약국,서울특별시 종로구 종로3가 28-2 2층,서울특별시종로구종로137,19821117,운영중,16.5,약국,19821117,02-743-0799,199362.8699,452355.2825,영업중,종로구
63,64,동아약국,서울특별시 종로구 종로4가 149-1,서울특별시종로구종로192,20020501,운영중,74,약국,20020501,02-2285-5702,199918.0572,452340.3129,영업중,종로구
64,65,광교약국,서울특별시 종로구 관철동 287,서울특별시종로구청계천로49,19920319,운영중,16,약국,19920319,02-734-4690,198508.6504,452172.1388,영업중,종로구
65,66,소담약국,서울특별시 종로구 명륜동2가 143-9,서울특별시종로구성균관로18,20060417,운영중,11.3,약국,20060417,02-765-2126,199791.6741,453872.183,영업중,종로구
66,67,이약국,서울특별시 종로구 창신동 243,서울특별시종로구지봉로43,19741222,운영중,25,약국,19741222,02-763-4197,201363.5764,452724.0936,영업중,종로구
67,68,세민약국,서울특별시 종로구 누하동 5 -2,서울특별시종로구자하문로7길73,20030826,운영중,18,약국,20030826,02-739-8851,197243.0188,453426.0942,영업중,종로구
68,69,공생약국,서울특별시 종로구 종로5가 193번지 17호 1층,서울특별시종로구종로228,20081229,운영중,95.2,약국,20081229,2273-7826,200271.4891,452351.0144,영업중,종로구
69,70,제신약국,서울특별시 종로구 종로6가 272번지 4호 동대문종합시장 D동,서울특별시종로구종로266,20090302,운영중,20.46,약국,20090302,2279-7388,200727.9787,452351.6958,영업중,종로구
70,71,미소약국,서울특별시 종로구 종로3가 10번지 낙원빌딩403호,서울특별시종로구종로115,20091007,운영중,34.78,약국,20091007,764-6024,199157.6157,452340.824,영업중,종로구
71,72,사랑약국,서울특별시 종로구 구기동 110번지 1호 요진오피스텔쉐레이 1층 3호,서울특별시종로구진흥로432,20091109,운영중,34.56,약국,20091109,379-5632,196166.3207,456512.8383,영업중,종로구
72,73,국화약국,서울특별시 종로구 평창동 331번지 쇼핑센타뉴본빌딩 1층,서울특별시종로구평창11길3,20091013,운영중,26.2,약국,20091013,395-9105,197055.9887,456271.3722,영업중,종로구
73,74,마이팜약국,서울특별시 종로구 무악동 68번지,서울특별시종로구통일로16길2,20100128,운영중,132.23,약국,20100128,738-3044~5,196227.446,452877.7393,영업중,종로구
74,75,인제약국,서울특별시 종로구 종로4가 153번지 1호,서울특별시종로구종로194,20100223,운영중,23,약국,20100223,2266-4312,199926.6153,452343.623,영업중,종로구
75,76,튼튼약국,서울특별시 종로구 명륜2가 21번지 9호 1층,서울특별시종로구창경궁로34길18-5,20140311,운영중,38.9,약국,20140311,02-762-2323,200071.2337,453840.4408,영업중,종로구
76,77,종각3층다정약국,서울특별시 종로구 관철동 16번지 5호 3층,서울특별시종로구종로70,20140303,운영중,17.8,약국,20140303,02-732-2462,198689.821,452263.515,영업중,종로구
77,78,플러스약국,서울특별시 종로구 종로2가 75번지 9호 미려빌딩 1층,서울특별시종로구종로78,20140211,운영중,16.54,약국,20140211,02-733-4163,198766.853,452259.9908,영업중,종로구
78,79,안국온누리약국,서울특별시 종로구 경운동 89번지 4호 운현궁에스케이허브 101동 203호,서울특별시종로구삼일대로461,20140213,운영중,35.25,약국,20140213,02-6283-8008,198748.1859,452928.8196,영업중,종로구
79,80,임자약국,서울특별시 종로구 효제동 126번지 2호,서울특별시종로구김상옥로55,20140310,운영중,71.13,약국,20140310,02-742-1145,200342.7999,452682.6259,영업중,종로구
80,81,안국3층약국,서울특별시 종로구 안국동 163번지 305호,서울특별시종로구율곡로47,20140922,운영중,25.99,약국,20140922,02-735-8242,198638.4379,452976.6896,영업중,종로구
82,83,혜화약국,서울특별시 종로구 혜화동 109번지 1호,서울특별시종로구혜화로8,20141230,운영중,69.5,약국,20141230,02-762-0373,200045.333,454103.1585,영업중,종로구
83,84,바로약국,서울특별시 종로구 청진동 70번지 지하137호,서울특별시종로구종로33,20141107,운영중,20.5,약국,20141107,02-2158-7900,198360.2027,452380.1694,영업중,종로구
84,85,남영약국,서울특별시 종로구 경운동 89번지 4호 운현궁SK허브 101동113114호,서울특별시종로구삼일대로461,20150102,운영중,41.34,약국,20150102,02-733-4774,198748.1859,452928.8196,영업중,종로구
85,86,인앤아웃약국,서울특별시 종로구 종로1가 421호,서울특별시종로구종로19,20150209,운영중,34.17,약국,20150209,02-2075-7505,198226.4189,452367.184,영업중,종로구
87,88,행복약국,서울특별시 중구 묵정동 24번지 19호,서울특별시중구퇴계로50길33,20030820,운영중,26.23,약국,20030820,02-2263-4312,200102.2569,451299.002,영업중,중구
88,89,서현온누리약국,서울특별시 중구 남창동 9번지 15호,서울특별시중구퇴계로61,20030828,운영중,7.65,약국,20030828,02-776-5830,198137.1501,451093.4967,영업중,중구
89,90,명동사랑약국,서울특별시 중구 충무로1가 24번지 31호 1층 102호,서울특별시중구퇴계로109,20031125,운영중,20.12,약국,20031125,02-2124-1612,198574.2401,451269.0695,영업중,중구
90,91,센츄럴팜약국,서울특별시 중구 봉래동2가 122번지 11호,서울특별시중구한강대로405,20040527,운영중,66.96,약국,20040527,02-393-5505,197491.7737,450711.5898,영업중,중구
91,92,연세약국,서울특별시 중구 남대문로5가 84번지 11호,서울특별시중구통일로10,20040531,운영중,18.75,약국,20040531,02-2259-0488,197670.3409,450841.4604,영업중,중구
92,93,수연약국,서울특별시 중구 태평로2가 340번지 6호 대한일보빌딩 101호,서울특별시중구서소문로138,20040607,운영중,18.37,약국,20040607,02-777-1578,197906.2894,451569.1096,영업중,중구
93,94,소망약국,서울특별시 중구 신당동 145번지 3호,서울특별시중구퇴계로88길42,20040616,운영중,24.7,약국,20040616,02-2253-2355,201789.0391,451583.5864,영업중,중구
94,95,에이스약국,서울특별시 중구 무교동 97번지,서울특별시중구세종대로136,20040812,운영중,58.06,약국,20040812,02-779-7697,198079.0842,452098.4756,영업중,중구
95,96,보생당약국,서울특별시 중구 필동1가 40번지 1호 동화빌딩,서울특별시중구퇴계로189,20041214,운영중,33,약국,20041214,02-2267-8830,199378.1666,451323.5897,영업중,중구
96,97,유네스코약국,서울특별시 중구 명동2가 50-14 유네스코빌딩402호,서울특별시중구명동길26,20050725,운영중,14.49,약국,20050725,02-778-7880,198565.6383,451547.2313,영업중,중구
97,98,하나약국,서울특별시 중구 무교동 1번지 효령빌딩,서울특별시중구무교로32,20050822,운영중,27.9,약국,20050822,02-755-5155,198194.4077,452136.4918,영업중,중구
98,99,푸른약국,서울특별시 중구 충무로2가 66번지 13호,서울특별시중구명동8길47,20050912,운영중,15.58,약국,20050912,02-775-7428,198680.5601,451348.0911,영업중,중구
99,100,새금성약국,서울특별시 중구 오장동 139번지 16호,서울특별시중구동호로33길5,20060217,운영중,35.73,약국,20060217,02-2266-1038,200166.6414,451762.0427,영업중,중구
100,101,하늘약국,서울특별시 중구 무학동 11번지 1호,서울특별시중구다산로245,20060417,운영중,41.25,약국,20060417,02-2237-3530,201403.3808,451720.952,영업중,중구
101,102,명동약국,서울특별시 중구 충무로2가 65번지 9호,서울특별시중구퇴계로123,20060630,운영중,27.52,약국,20060630,02-2079-0825,198706.9097,451303.9701,영업중,중구
102,103,연합약국,서울특별시 중구 남산동1가 1번지 2호,서울특별시중구퇴계로120,20070115,운영중,24.48,약국,20070115,02-778-3465,198681.7448,451227.6844,영업중,중구
103,104,남산우리약국,서울특별시 중구 회현동1가 208번지 남산롯데캐슬 아이리스 상가 102호,서울특별시중구소공로35,20070517,운영중,27.62,약국,20070517,02-3789-7582,198446.5468,450982.4099,영업중,중구
104,105,그린약국,서울특별시 중구 순화동 53번지 아이엔지센터,서울특별시중구세종대로7길37,20070525,운영중,23,약국,20070525,02-755-7525,197569.3887,451247.1055,영업중,중구
105,106,신우리약국,서울특별시 중구 저동2가 84번지 4호,서울특별시중구마른내로13,20070621,운영중,31.34,약국,20070621,02-2267-1570,199058.8577,451705.7261,영업중,중구
106,107,예솔약국,서울특별시 중구 중림동 355번지 브라운스톤서울 103동 207호,서울특별시중구청파로464,20070705,운영중,23.4,약국,20070705,02-365-3652,197192.6676,451254.7206,영업중,중구
107,108,메디칼하나약국,서울특별시 중구 신당동 369번지 22호,서울특별시중구다산로134,20070711,운영중,37.38,약국,20070711,02-2252-2501,201009.0855,450684.3737,영업중,중구
108,109,필약국,서울특별시 중구  19번지 11호 대평빌딩 103호,서울특별시중구필동로14,20070824,운영중,16.8,약국,20070824,02-2268-7552,199636.9766,451208.4507,영업중,중구
109,110,한마음약국,서울특별시 중구 저동2가 88번지 10호,서울특별시중구마른내로10,20070913,운영중,29.87,약국,20070913,02-2271-2861,199017.5455,451665.9905,영업중,중구
110,111,새삼성약국,서울특별시 중구 남대문로4가 3번지 1호,서울특별시중구남대문로16-1,20080416,운영중,29.7,약국,20080416,02-756-3301,198022.1437,451248.25,영업중,중구
111,112,명동중앙약국,서울특별시 중구 충무로1가 25번지 9호,서울특별시중구명동8나길49,20080425,운영중,34.15,약국,20080425,02-777-0505,198423.9434,451283.046,영업중,중구
112,113,비타민약국,서울특별시 중구 초동 17번지 1호 2층,서울특별시중구충무로48,20080516,운영중,20.59,약국,20080516,02-2279-0720,199378.1855,451760.0698,영업중,중구
113,114,금오약국,서울특별시 중구 남창동 9번지 15호 금오빌딩 3층,서울특별시중구퇴계로61,20080526,운영중,37.39,약국,20080526,02-318-9031,198137.1501,451093.4967,영업중,중구
114,115,명동천사약국,서울특별시 중구 명동2가 87번지 1호 5층,서울특별시중구남대문로68,20080715,운영중,12.3,약국,20080715,02-755-1005,198433.0123,451508.6891,영업중,중구
115,145,방약국,서울특별시 중구 을지로4가 158번지,서울특별시중구을지로33길2,19871201,운영중,28.8,약국,19871201,02-2279-6433,200037.3253,451940.0364,영업중,중구
116,116,새평화약국,서울특별시 중구 남대문로4가 45번지 상공회의소 지1층,서울특별시중구세종대로39,20080806,운영중,19.53,약국,20080806,02-6050-0093,197682.9707,451242.9059,영업중,중구
117,117,새재약국,서울특별시 중구 장충동2가 161번지 15호,서울특별시중구장충단로7길41,19640406,운영중,22.25,약국,19640406,02-2272-5953,200366.8029,451430.8242,영업중,중구
118,118,인원약국,서울특별시 중구 중림동 397번지 20호,서울특별시중구중림로2,19651220,운영중,16.96,약국,19651220,02-392-3881,196798.1875,451051.4836,영업중,중구
119,119,온누리정일약국,서울특별시 중구 중림동 69번지 9호,서울특별시중구청파로437,19660408,운영중,24.84,약국,19660408,02-392-2786,197264.0079,451011.4336,영업중,중구
120,120,동화약국,서울특별시 중구 동화동 282번지 107호,서울특별시중구다산로34길47,20090611,운영중,20.3,약국,20090611,02-2234-9666,201510.9172,451358.8403,영업중,중구
121,121,대화약국,서울특별시 중구 신당동 373번지 115호,서울특별시중구동호로5길22,19700316,운영중,42.9,약국,19700316,02-2238-1333,201068.6296,450250.6562,영업중,중구
122,122,한중약국,서울특별시 중구 서소문동 136번지,서울특별시중구서소문로120,19720624,운영중,21.08,약국,19720624,02-752-2326,197693,451195,영업중,중구
123,123,메디팜신웅약국,서울특별시 중구 황학동 629번지,서울특별시중구퇴계로87길15-8,19750326,운영중,20.13,약국,19750326,02-2252-6675,201836.5864,451859.0017,영업중,중구
124,124,중부사약국,서울특별시 중구 오장동 11-4,서울특별시중구을지로30길58,19751111,운영중,17.61,약국,19751111,02-2275-7357,199905.4515,451676.9913,영업중,중구
125,125,다나약국,서울특별시 중구 신당동 372번지 3호,서울특별시중구동호로171,19760421,운영중,24.37,약국,19760421,02-2234-0345,200997.5339,450436.2197,영업중,중구
126,126,새원약국,서울특별시 중구 명동2가 2번지 3호,서울특별시중구명동길52,19761208,운영중,15.76,약국,19761208,02-776-4476,198701.8439,451580.9231,영업중,중구
127,127,대풍약국,서울특별시 중구 신당2동 363번지 10호,서울특별시중구동호로11길43,19770523,운영중,35.7,약국,19770523,02-2252-3944,200800.1874,450425.4666,영업중,중구
128,128,한일약국,서울특별시 중구 서소문동 54번지 1호,서울특별시중구서소문로109,19770716,운영중,53.32,약국,19770716,02-753-9779,197639.2642,451503.5023,영업중,중구
129,129,금천약국,서울특별시 중구 북창동 136번지,서울특별시중구남대문로1길2,19780218,운영중,22.14,약국,19780218,02-778-7134,198028.5657,451304.288,영업중,중구
130,130,대도약국,서울특별시 중구 필동1가 39번지 3호,서울특별시중구퇴계로183,19780407,운영중,18,약국,19780407,02-2266-9862,199321.1882,451309.3466,영업중,중구
131,131,한미약국,서울특별시 중구 신당동 217번지 92호 동평화시장 1층 가48호,서울특별시중구청계천로318,19790804,운영중,16.17,약국,19790804,02-2238-5929,201218.4179,452212.6214,영업중,중구
132,132,오약국,서울특별시 중구  45번지 코오롱아케이드,서울특별시중구무교로21,19800126,운영중,18.7,약국,19800126,02-779-0310,198122.002,452035.3857,영업중,중구
133,133,희구약국,서울특별시 중구 남창동 48번지 10호,서울특별시중구남대문시장4길37,19800604,운영중,38.5,약국,19800604,02-752-0229,197997.7925,450995.7496,영업중,중구
134,134,신라약국,서울특별시 중구 다동 143,서울특별시중구남대문로9길16,19820520,운영중,19.8,약국,19820520,02-777-4825,198369.995,451922.2543,영업중,중구
135,135,신성약국,서울특별시 중구 신당동 292번지 127호 경북여인숙,서울특별시중구다산로215,19831116,운영중,24.68,약국,19831116,02-2273-1390,201312.1812,451438.1212,영업중,중구
136,136,지하근화사약국,서울특별시 중구 을지로3가 282번지 8호 지하상가3구역 11호,서울특별시중구을지로지하,19831206,운영중,19.52,약국,19831206,02-2272-4986,199476.7919,451878.7467,영업중,중구
137,137,조동약국,서울특별시 중구 장교동 1번지,서울특별시중구삼일대로363,19840703,운영중,25.5,약국,19840703,02-755-2662,198856.1425,451957.7435,영업중,중구
138,138,아세아약국,서울특별시 중구 초동 18번지 12호,서울특별시중구충무로4길2,19841113,운영중,27.72,약국,19841113,02-2279-5433,199381.0105,451711.5417,영업중,중구
139,139,백조약국,서울특별시 중구 태평로1가 75번지,서울특별시중구세종대로21길61,19841220,운영중,15.66,약국,19841220,02-738-8808,197869.709,452175.8946,영업중,중구
140,140,인우약국,서울특별시 중구 중림동 1154번지,서울특별시중구중림로21,19851107,운영중,45.14,약국,19851107,02-392-7291,197001.954,451050.7907,영업중,중구
141,141,정원약국,서울특별시 중구 태평로2가 52번지 1호,서울특별시중구세종대로18길10,19851226,운영중,29.9,약국,19851226,02-755-5866,198022.7049,451575.3028,영업중,중구
142,142,장수약국,서울특별시 중구 신당5동 130번지 33호,서울특별시중구퇴계로86길6,19870107,운영중,25.1,약국,19870107,02-2252-2929,201731.5204,451748.6716,영업중,중구
143,143,부일약국,서울특별시 중구 신당동 236번지 503호,서울특별시중구청구로14길45,19870429,운영중,32.88,약국,19870429,02-2238-6974,201159.52,451471.5324,영업중,중구
144,144,왕란약국,서울특별시 중구 광희동1가 154번지 1호,서울특별시중구을지로44길20,19871120,운영중,16.3,약국,19871120,02-2267-1492,200563.9048,451746.3008,영업중,중구
145,146,광진약국,서울특별시 중구 신당동 308번지 1호,서울특별시중구다산로27길6-14,19890610,운영중,38.78,약국,19890610,02-2237-5296,201172.5823,451160.5682,영업중,중구
146,147,동국약국,서울특별시 중구 필동3가 19번지 7호,서울특별시중구서애로1길16,19900106,운영중,29.01,약국,19900106,02-2267-6767,199903.6272,451256.4055,영업중,중구
147,148,동문약국,서울특별시 중구 을지로6가 18번지 60호,서울특별시중구을지로41길14,19900124,운영중,71.42,약국,19900124,02-2271-1702,200553.0791,451940.2356,영업중,중구
148,149,남시약국,서울특별시 중구 남대문로3가 30번지 15호,서울특별시중구남대문로18,19910704,운영중,54,약국,19910704,02-753-7466,198033.4668,451248.8797,영업중,중구
149,150,영진약국,서울특별시 중구 초동 35번지 3호,서울특별시중구충무로30-2,19921007,운영중,49.22,약국,19921007,02-2267-0801,199391.6297,451594.5007,영업중,중구
150,151,평화약국,서울특별시 중구 남대문로4가 18번지 11호,서울특별시중구남대문시장길21,19940511,운영중,24.57,약국,19940511,02-755-6059,197977.6412,451190.6644,영업중,중구
151,152,성인약국,서울특별시 중구 신당동 228번지 3호,서울특별시중구퇴계로352-1,19940727,운영중,19.7,약국,19940727,02-2252-7102,200949.379,451669.0336,영업중,중구
152,153,을지로5가보영약국,서울특별시 중구 방산동 79-1,서울특별시중구동호로376,19981106,운영중,39.6,약국,19981106,02-2273-9781,200219.7538,452041.2689,영업중,중구
153,154,메디팜광주약국,서울특별시 중구 회현동1가 180번지 2호,서울특별시중구퇴계로6길5,20000106,운영중,16.22,약국,20000106,02-756-3609,198087.1748,450943.076,영업중,중구
